"relative_eff_IPW_WR"	"relative_eff_OW_WR"	"relative_eff_DR_WR"	"relative_eff_DROW_WR"
2.13192497178082	2.08984774343542	5.91159587795738	4.71835942396984
2.11744478236428	2.00024401114385	2.64877362516232	2.40905868808883
2.48902825910904	2.48207552074206	2.74864442694095	2.73788084677993
1.86373213439509	1.84952102059667	2.10057393081548	2.09563629629342
1.88756884730856	1.88019386551164	2.24755849750179	2.23669646727837
1.75609056476751	1.74391298953612	2.05960015216301	2.0443852988368
1.70533247190205	1.70855596217136	2.15533618102401	2.15418299156737
1.76908216397536	1.76261006499229	2.12972304511489	2.12223357909709
1.73435869780689	1.7282753923362	2.19361738249503	2.18708923465474
1.75880295339792	1.75220217881228	2.09052895749249	2.08409516722599
