"V1"	"V2"	"V3"
0.000208876516561138	3.45879484285948	0.000208877822284789
0.000334866926874751	-3.93079020729463	0.000334875551781875
0.00076681895346954	-1.13884941566608	0.000766824908361169
0.0021318315912893	-0.771905650065705	0.00213231951240473
0.00162012389731152	-0.133212465777837	0.00162013801083637
0.00132675188031005	0.00524599079726294	0.00132675190281521
0.0010953477357232	0.378346974031686	0.00109546578678437
0.00100182747156661	0.909548786355695	0.00100250452795574
0.000842119380585049	-0.0743257706118408	0.000842123862822465
0.00078368436311698	0.816715385191909	0.000784215638372469
0.586286870782322	-3.32148051937352	0.586287150525381
0.26376559651423	-2.42271090076188	0.26376639497487
0.0804256248439546	-0.499836708413631	0.0804259038286769
0.0775322239384838	0.650510854976058	0.0776219425835067
0.0558508449694929	0.578713563192639	0.0559207544875823
0.0473775294068488	0.537810658080583	0.0474384049681847
0.0404659184685515	0.669303397622099	0.0405602927327718
0.0355378603312708	0.705183023860628	0.0356421530219486
0.0296387897206827	0.282819562078866	0.0296554972702404
0.0270017287324031	0.632599418823255	0.027084724880531
