"relative_eff_IPW_WR"	"relative_eff_OW_WR"	"relative_eff_DR_WR"	"relative_eff_DROW_WR"
0.938736716759707	0.939032842358605	0.900147359627998	0.925808925966456
1.12393768763522	1.1210278341354	1.14637644247145	1.13935282347458
1.17040153661724	1.16362507266818	1.16629061599235	1.16581448615013
1.13951757677914	1.13784628447133	1.14421315325088	1.13934987938505
1.22270167758367	1.21617219647925	1.22167457020474	1.21679490621126
1.16824756824175	1.16649382803827	1.17335047053236	1.17099339062347
1.21090082721164	1.20959596340993	1.20784257598014	1.20664392074574
1.19635361503096	1.19523157473672	1.20469863477717	1.2040723125527
1.15702481944344	1.15682160850935	1.15808786420807	1.1584215459991
1.24188180745124	1.23922317102196	1.24618270143924	1.24338190795446
