"relative_eff_IPW_WD"	"relative_eff_OW_WD"	"relative_eff_DR_WD"	"relative_eff_DROW_WD"
1.06411882311115	1.07561601897691	1.06530347358701	1.0876242317812
1.10974838711521	1.11254108896092	1.1328798616497	1.12773078042446
1.17533739885583	1.17245328047223	1.18430575740614	1.18600332019289
1.14704303290214	1.14568395796889	1.15236617056318	1.1491338583713
1.20670675944114	1.20163145014487	1.20707102815476	1.20326927845672
1.17655964941467	1.17486465770628	1.18296407791497	1.18044620453104
1.2207942634256	1.21760117665513	1.22047824132574	1.217879753676
1.19620870962669	1.19565620241599	1.20797402561965	1.20782631704649
1.14767871266766	1.14762441208187	1.1500491656015	1.15048581628658
1.23566080275312	1.23280834784009	1.24331063153455	1.24044364775374
