"relative_eff_IPW_WR"	"relative_eff_OW_WR"	"relative_eff_DR_WR"	"relative_eff_DROW_WR"
1.26686121102275	1.43839692090996	1.26837443355909	1.11113617938052
1.54061143899617	1.65612203307497	1.2508114637523	1.28002338575777
1.65185676208144	1.68032948593107	1.43444694804465	1.45857571531878
1.43196222449827	1.42876729625739	1.30673976170735	1.3083914411132
1.34346059389528	1.30173503991432	1.36581069273609	1.34372298367318
1.41704486477419	1.42243698213044	1.35423268549473	1.36308523706282
1.4391661146236	1.42253484534551	1.43692214612686	1.43818329879997
1.32488974823988	1.29473915035992	1.2920676641196	1.27992317452588
1.27121037398259	1.26186437598575	1.31489752509039	1.31194016960633
1.29080938546901	1.2791560498326	1.27493195791145	1.26961613136813
