"relative_eff_IPW_WD"	"relative_eff_OW_WD"	"relative_eff_DR_WD"	"relative_eff_DROW_WD"
1.43183470325738	1.55339107977105	1.52322035864808	1.54134476661129
1.60482465695263	1.62078411391272	1.77520717849234	1.78546738227676
1.48168482096038	1.48312984864002	1.63774162668809	1.63164900732276
1.45735061455984	1.45634403790862	1.54064414336267	1.53809113833029
1.44462213426511	1.44489050037375	1.64459125484925	1.64095614762899
1.48243494448131	1.48358627247102	1.54279573425374	1.54056833273268
1.37878634079017	1.37620167965567	1.50842067683384	1.50653641990558
1.33114582338423	1.33118876942914	1.44032062930743	1.43945019397025
1.3388332168886	1.3384030968615	1.42475674793864	1.42142574873035
1.33408390795294	1.33127232423235	1.42190862267443	1.4197918813222
