"V1"	"V2"	"V3"
0.0104690566961471	2.75274710323727	0.0104752410692895
0.00468050616701919	-1.38847973533645	0.00468207957789639
0.00327251509775276	3.69870810955271	0.00328368021211587
0.00237052102213156	2.1953406888068	0.00237445441123527
0.00201505524122496	-2.3642635987345	0.00201961723667943
0.00149873589963509	0.843217463892385	0.00149931618583451
0.00128716480651392	0.541573644214976	0.00128740418113243
0.00106255558134883	-1.09574908933384	0.00106353548932705
0.00094040124046131	1.78942886352359	0.000943014556496814
0.000936549933668961	3.68428054130669	0.000947628114285853
0.639267147718059	Inf	Inf
0.202789619605781	4.04539871382244	0.206216503127301
0.136613677404129	4.27493597952076	0.140440478674912
0.0919004001237129	2.74654210508947	0.0934800076762513
0.0739892347981042	0.666177985926277	0.0740821650754855
0.0539389123652207	1.24836324372843	0.0542652435855913
0.0450730166956132	0.930241233495279	0.0452542207251087
0.0387481781928591	0.212736369409474	0.0387576549590418
0.0332541790436017	0.988226634168356	0.0334586773841902
0.0334430344219446	1.74030932925688	0.0340772392964532
