"relative_eff_IPW_WD"	"relative_eff_OW_WD"	"relative_eff_DR_WD"	"relative_eff_DROW_WD"
0.999121850783161	1.0336398396866	1.40693475963733	1.4310885989029
1.0217021416525	1.07903208657798	0.949493880217359	0.976407523891733
1.09824844237273	1.10736313740732	0.994669578829685	1.01675152135318
1.05870915820851	1.07877589271414	0.9927796810242	1.01857948261121
1.13977032253237	1.1330898818682	1.0344134502109	1.04225593824971
1.15578686160647	1.1686512304484	1.09341707816341	1.11270978932855
1.12818863576153	1.12662681795809	1.08063259198688	1.09084045615652
1.13154970309698	1.13375912844351	1.09395410340418	1.09680816824413
1.17662809315491	1.17881299478647	1.16097553130704	1.16517733663872
1.21999085894435	1.20996319472642	1.22502101308233	1.21035153297852
