"relative_eff_IPW_WR"	"relative_eff_OW_WR"	"relative_eff_DR_WR"	"relative_eff_DROW_WR"
1.26686121102275	1.43839692090996	1.6394677557506	1.62522226397694
1.54061143899617	1.65612203307497	1.78417201509554	1.8106513012882
1.65185676208144	1.68032948593107	1.8293928879062	1.85533407327397
1.43196222449827	1.42876729625739	1.54546428600949	1.53029921125146
1.34346059389528	1.30173503991432	1.44129390164865	1.40874313644106
1.41704486477419	1.42243698213044	1.47789836619906	1.48617241626011
1.4391661146236	1.42253484534551	1.46501768636777	1.45584271568173
1.32488974823988	1.29473915035992	1.40396641424128	1.37722537131315
1.27121037398259	1.26186437598575	1.35713935213912	1.34123752028352
1.29080938546901	1.2791560498326	1.33167379042716	1.32061502737006
