"relative_eff_IPW_WR"	"relative_eff_OW_WR"	"relative_eff_DR_WR"	"relative_eff_DROW_WR"
0.930165199810481	1.54960302347173	1.1776434533439	1.30283599413044
1.75452657934917	1.76342947498754	1.58317931057756	1.63122430296646
1.72062627437891	1.75424620073374	1.87599614549882	1.89206235855131
1.69805422541351	1.72510640093884	1.82391635881156	1.81587339621371
1.68386268750173	1.68071278760299	1.88633598432563	1.89986410254718
1.61644412638252	1.61164024829553	1.79731157583856	1.7880542319926
1.68546573544217	1.706095086568	1.85068330334969	1.85834945803292
1.66024516919945	1.66423972335009	1.87974316152783	1.88826870604436
1.67305444677217	1.66451347525322	1.89440697221449	1.89024122012823
1.69046960313822	1.68119609994376	1.93076741544802	1.92061546201838
