"relative_eff_IPW_WD"	"relative_eff_OW_WD"	"relative_eff_DR_WD"	"relative_eff_DROW_WD"
1.09054080856788	1.47144245070632	1.31472249503764	1.48611738374495
1.52733204390476	1.62031058768414	1.40688673449674	1.50103252718033
1.54530687255909	1.61656399913421	1.6685568614063	1.73543086905786
1.63089863060687	1.70612441327177	1.74390736201035	1.78137994583535
1.56026063919088	1.5884825850439	1.74213297210911	1.77132929133231
1.57408715108144	1.60735602098639	1.72412101404388	1.75422316498696
1.65809473132853	1.7039303052191	1.82238216170879	1.84870271827513
1.60147564708612	1.63231908019592	1.79927319970908	1.8366085936187
1.59000823973987	1.60253759980812	1.8022013172467	1.8205811285077
1.61870314544219	1.62791289811535	1.824593310027	1.83620295097915
