"relative_eff_IPW_WR"	"relative_eff_OW_WR"	"relative_eff_DR_WR"	"relative_eff_DROW_WR"
0.773757016545825	0.794845064750019	1.28515808205683	1.26010551275162
1.49941966508806	1.50057076857425	1.58700196988711	1.57614414472912
1.69050229314097	1.63387633982954	1.96578338453872	1.922335691077
1.52220273876391	1.50355454655295	1.6036645562686	1.58863393231681
1.46751665039004	1.46662178147079	1.55952369084709	1.55854466584355
1.45770316135861	1.45290128784633	1.56667126975501	1.55738695693561
1.5218364425744	1.51880107511368	1.6022237422885	1.59746354779741
1.5499451418127	1.54589784306378	1.58902410283864	1.5799978469285
1.41863747117183	1.41334932244893	1.53886453642657	1.53029869076154
1.45408709442798	1.45304239102969	1.54181134640881	1.54160499970302
