"relative_eff_IPW_WD"	"relative_eff_OW_WD"	"relative_eff_DR_WD"	"relative_eff_DROW_WD"
1.09054080856788	1.47144245070632	1.40436180915795	1.59386806740153
1.52733204390476	1.62031058768414	1.5859656878454	1.69343747211787
1.54530687255909	1.61656399913421	1.66571536184216	1.73554290312335
1.63089863060687	1.70612441327177	1.72992156569694	1.76322197366006
1.56026063919088	1.5884825850439	1.72169385018737	1.75534976857493
1.57408715108144	1.60735602098639	1.71054749775772	1.73685131569484
1.65809473132853	1.7039303052191	1.78079958996541	1.80952544642438
1.60147564708612	1.63231908019592	1.77429362674369	1.80659117010466
1.59000823973987	1.60253759980812	1.75815836790507	1.77948906251794
1.61870314544219	1.62791289811535	1.77661065930273	1.78501980246634
