"relative_eff_IPW_WR"	"relative_eff_OW_WR"	"relative_eff_DR_WR"	"relative_eff_DROW_WR"
0.930165199810481	1.54960302347173	1.45434456647913	1.56725398325497
1.75452657934917	1.76342947498754	1.86380151659983	1.90886148171656
1.72062627437891	1.75424620073374	1.86792868231832	1.88615393362579
1.69805422541351	1.72510640093884	1.80464627953721	1.79152656881358
1.68386268750173	1.68071278760299	1.86342360883396	1.87770853836728
1.61644412638252	1.61164024829553	1.78689214597272	1.77660540293014
1.68546573544217	1.706095086568	1.79976893256837	1.80918578200902
1.66024516919945	1.66423972335009	1.84193635301394	1.8454796918008
1.67305444677217	1.66451347525322	1.85413564876979	1.85437067539971
1.69046960313822	1.68119609994376	1.87401128847339	1.86122187651471
