"relative_eff_IPW_WD"	"relative_eff_OW_WD"	"relative_eff_DR_WD"	"relative_eff_DROW_WD"
1.01801885200862	1.03964958362381	0.984827339154345	0.994246088292301
0.996823594935506	0.987116796997958	0.958230959706738	0.945684289405314
1.52839462543634	1.55499764144978	1.34836564997045	1.35466866590314
1.30936744413462	1.29029505291469	1.34288479080755	1.32934903842759
1.35886085593608	1.35938156399948	1.30859880140723	1.30371694588296
1.13646631479011	1.13592378714309	1.0607864983194	1.06005749385916
1.00879832188657	1.01186179398921	0.992046520014977	0.994012573390095
1.34977754557549	1.35274695326663	1.32454331138924	1.32726685317323
1.029450709053	1.03179169269107	1.08831653674989	1.09199587053675
1.08599656494906	1.08362874305546	1.01335100688053	1.01130118291515
