"relative_eff_IPW_WR"	"relative_eff_OW_WR"	"relative_eff_DR_WR"	"relative_eff_DROW_WR"
0.943119647564307	0.972655943393561	0.961245555903104	0.945433981961163
0.879849750311056	0.873841020097823	0.847238408279317	0.834597020633608
1.54775251753196	1.58089130630759	1.34182248215994	1.34268165875468
1.42329217442771	1.40374814155635	1.49798224864337	1.48177821125371
1.36973845805816	1.36819334296528	1.31635435735618	1.31255486451937
1.09107727380299	1.09171725339028	1.01040428326591	1.00984431897958
1.0544618849411	1.05895695497145	1.0150677174396	1.01819866114614
1.3615547016805	1.3617740307072	1.30695056263496	1.30621520875792
1.00371530181655	1.00479441353791	1.0674903928034	1.07000002127232
1.08759283561058	1.0826534892314	0.996472582996929	0.9929164489639
