"V1"	"V2"	"V3"
0.000156478050548703	-99.8496510239481	0.00829332523139932
0.00036633165194864	-97.1477482346259	0.00806877537933772
0.000473680242221986	-95.4229229609489	0.00790504345077601
0.00283473302826632	-10.6977334952144	0.00292813297008872
0.00176242273973003	-2.6827211107647	0.00176829647150446
0.00135653851454878	0.0231744517860122	0.0013565389528594
0.0011075220925471	0.0939136426878475	0.00110752929068942
0.000915197803182351	-1.20870840099699	0.000916390159722331
0.000811405428332293	1.37450696105079	0.000812947330944143
0.000770582519941959	2.93136624734143	0.000777595509992081
0.626393184839238	-99.3657444315589	2.69391480734167
0.204984441342241	-97.3732103161657	2.19041936234066
0.108284948093123	-94.8905856678305	1.99376930382864
0.078258416359682	-11.4092493814093	0.105516217889494
0.0645396651780437	0.217576679851657	0.0645495780927555
0.0474452454166584	0.73656428190474	0.0475588505586362
0.038721099084149	0.540811756110645	0.038782343842645
0.0321056189895273	-0.0302638208839909	0.0321058107787482
0.0283880887401962	0.69643062255108	0.0284896510097599
0.0269864316145027	1.24197368474265	0.027309430829666
