"relative_eff_IPW_WD"	"relative_eff_OW_WD"	"relative_eff_DR_WD"	"relative_eff_DROW_WD"
0.833969170286565	1.29534331389015	7.4075667763165	7.3085090104783
1.00155049877871	1.0829231077545	1.16801698327148	1.21735507590819
1.40388113231796	1.43546145843562	1.52252068809269	1.53958923336237
1.30392225703422	1.34356425954577	1.36007888176954	1.38803900984088
1.40149104232602	1.40348122178636	1.50698209531048	1.49579687248675
1.46554172356899	1.46661094709536	1.53448371537046	1.52921572449216
1.36528991136446	1.3885484410154	1.4728268930992	1.48340547265156
1.33961374872057	1.35566295053865	1.41110971588567	1.41253576615182
1.3947443501059	1.40437361179818	1.50310968857033	1.50830705648664
1.30689363028727	1.30951284503944	1.35809995644753	1.36050380527225
