"relative_eff_IPW_WD"	"relative_eff_OW_WD"	"relative_eff_DR_WD"	"relative_eff_DROW_WD"
0.999121850783161	1.0336398396866	1.2560784161042	1.35635907242698
1.0217021416525	1.07903208657798	1.03729195672669	1.09276024087334
1.09824844237273	1.10736313740732	1.10407311422411	1.11981153107902
1.05870915820851	1.07877589271414	1.06095443155929	1.08577156974008
1.13977032253237	1.1330898818682	1.13783948453253	1.13903907338658
1.15578686160647	1.1686512304484	1.16114337266889	1.16915127237325
1.12818863576153	1.12662681795809	1.12983047839442	1.13118932146882
1.13154970309698	1.13375912844351	1.13484624697794	1.13559104721451
1.17662809315491	1.17881299478647	1.17495181538301	1.17858747037071
1.21999085894435	1.20996319472642	1.22910406235283	1.21620418348797
