"relative_eff_IPW_WR"	"relative_eff_OW_WR"	"relative_eff_DR_WR"	"relative_eff_DROW_WR"
0.976880009950466	0.824475436155745	1.1304883233289	0.953747867935488
1.00661553472842	1.11763816398555	1.01241678558418	1.12033473612115
1.10240556137954	1.12791547149404	1.12439523454443	1.14877192384981
1.0620197265043	1.09242512843623	1.06569173498926	1.10073534574876
1.14098030513112	1.13017598618765	1.14217093221538	1.13712307526494
1.14809212210557	1.16384677089049	1.15260396837532	1.16216094824089
1.11425687971554	1.1075676320452	1.11639770921268	1.11086069055274
1.12005498444221	1.11736881050318	1.12297842387969	1.11920359369068
1.19482731638835	1.19518212105256	1.19095903938281	1.19343835686028
1.23704926060624	1.22737109925099	1.24696367432886	1.23240332152926
