"V1"	"V2"	"V3"
0.000336027861323248	18.7185449547571	0.000336083169882749
0.00272450942360387	-4.28046972054049	0.00272490643463705
0.00689719707508843	0.956768352318211	0.00689911308687348
0.00579928380739497	0.426816947879109	0.00579966399654881
0.00441213609523522	0.435582062484476	0.00441255040701432
0.00445702441541994	0.538847323391849	0.00445765601323038
0.00409463645221631	-0.0389746531680889	0.00409463975362718
0.00392966767654116	-0.354891440935541	0.003929942959931
0.00344110488645831	0.629913598504264	0.00344196762342938
0.0032483039223163	0.242126248563314	0.00324843052165357
1.29776824936985	21.8508548633094	1.29778053862666
0.721146748895471	0.0157378916094726	0.721146749879636
0.539705978707735	2.74533060369694	0.542458316439299
0.413240660147259	1.72776500895058	0.414306255782014
0.329480416786221	1.27157610483946	0.330065025210713
0.339527633788451	1.28768991840841	0.340123260611269
0.295385772069042	0.598751287455858	0.295514802344653
0.284308683906766	0.479636433572973	0.284391659064613
0.254594151209169	0.69987164605705	0.254768889157877
0.232213554196175	0.72126108375767	0.23239706042296
