"V1"	"V2"	"V3"
0.000333333043106797	21.4133053964327	0.000333405422609662
0.00275274640660877	-3.56371164774711	0.00275302159165529
0.00689156097042861	1.36033883544563	0.0068954342492968
0.00579955842840113	0.737694758152015	0.00580069414456342
0.00441720735732835	0.646439238998297	0.00441811987803358
0.00445657018789767	0.704069173680569	0.00445764848842073
0.0041007790138377	0.1594310738127	0.00410083425731417
0.00393961057423935	-0.259744357885375	0.00393975803660681
0.00344928766315866	0.727382428591725	0.0034504380450922
0.00325010552270098	0.340656717951797	0.00325035612300962
1.19649290547117	22.4820208621804	1.19650591493649
0.750640685049398	0.711754098601021	0.750642698007071
0.54252240969671	3.07294229557192	0.545970838239808
0.41673960711579	1.97691644375945	0.418134689040123
0.33230510367521	1.45148568375831	0.333066842105234
0.34109719572126	1.42846889439961	0.341830177589634
0.297350683513763	0.75815227895245	0.297557560220445
0.285692100563139	0.569541940505714	0.285809097685053
0.256251617508956	0.799609452007932	0.256479707523515
0.232783374651598	0.801020369896989	0.233009710281287
