"relative_eff_IPW_WD"	"relative_eff_OW_WD"	"relative_eff_DR_WD"	"relative_eff_DROW_WD"
1.42959198760578	1.5597220939404	1.67785038251138	1.6969342066709
1.68311929489931	1.69888843027954	1.94710833588806	1.94539494152618
1.61948108114923	1.61944417337186	1.84126058999971	1.84232096589669
1.60109980001468	1.60232379806263	1.83217693154725	1.83428585077857
1.57275152002462	1.57354076334209	1.75452115779815	1.75308386593906
1.6915029215822	1.69845913434894	1.90209305748564	1.9098122351804
1.74307051325737	1.73647698818714	1.94023814142923	1.93638566083563
1.69156458943674	1.69065577750829	1.91956946820008	1.92240859199259
1.79474611881748	1.7905378920731	2.07961181431657	2.07486319596525
1.691588003758	1.68586891882455	1.95978627406724	1.95682183068623
