"V1"	"V2"	"V3"
0.000100036536089669	36.1936406847489	0.000100076283145792
0.000481298818075761	4.82317974096593	0.000481322449591744
0.00371038433888768	-1.55259838160011	0.0037123359177372
0.0026758818091033	-2.36745780447549	0.00268047190044996
0.0021001630842998	-2.52065187395385	0.00210536692848057
0.00177507591357864	-0.0891985035733766	0.0017750824970633
0.00156521187341849	-0.105007890374355	0.00156522065821051
0.00122174101622085	0.452218627499269	0.00122191285465554
0.00118347371061906	-0.231995406938638	0.00118351728328217
0.00102465958416932	-1.04711407998224	0.00102553654358736
0.0338709125080115	-2.13826966708653	0.0338709564156658
0.270093657756705	5.64078098939942	0.270102800439712
0.136343464854213	0.864551852276111	0.136502641116671
0.0929689987061575	0.25539703627588	0.0929827960511962
0.0707944308732329	-0.0971818134089045	0.0707964251600134
0.0603273510536509	0.748940346249111	0.0604461151421761
0.053185573986768	0.589349077051081	0.0532578617823564
0.0408780094482643	0.598239000915759	0.0409538431886586
0.038254943595723	0.34302774604447	0.0382795101811708
0.0333980195886734	0.0199522029053887	0.0333981023718907
