"relative_eff_IPW_WD"	"relative_eff_OW_WD"	"relative_eff_DR_WD"	"relative_eff_DROW_WD"
1.1567926524983	1.06573101549535	1.4761580060321	1.44621540245073
1.53473057674711	1.53450240642646	2.28770571177558	2.33283756022011
1.06772852897669	1.0679649745341	1.03179982593461	1.02923322027035
1.45735061455984	1.45634403790862	1.4246477900485	1.41994069997508
1.44462213426511	1.44489050037375	1.57185635461953	1.56853127134226
1.48243494448131	1.48358627247102	1.48282314066726	1.48218174642383
1.37878634079017	1.37620167965567	1.49516464129784	1.49283085871778
1.33114582338423	1.33118876942914	1.39893172805727	1.39819810320048
1.3388332168886	1.3384030968615	1.43156989648005	1.42853114182362
1.33408390795294	1.33127232423235	1.41904237188493	1.41655836479259
