"V1"	"V2"	"V3"
0.00952556317167129	5.6282903340061	0.00952676929351198
0.00865671727844513	-0.322056120889817	0.00865673315923212
0.00562643068132861	-1.59494181266376	0.0056269232550024
0.00399741379362992	-1.48677840521616	0.00399783790941154
0.00315809522164727	0.816962715343629	0.0031582155211286
0.00259776818008719	0.44892914523056	0.00259780396763506
0.00212474907581026	1.10035351359964	0.00212496034416098
0.00217809890625599	2.18752263034624	0.00217896285393805
0.00181471661114829	2.63316625817962	0.00181607773299356
0.00165250182118725	-1.19417887065658	0.00165275842025087
0.221716810571043	5.68396006903535	0.222289407915916
0.0798713001740788	2.44938025878798	0.0803576196037836
0.0479765692601685	1.68846546424342	0.0481980894477367
0.0328056796820325	1.20209385913158	0.0329172354397463
0.0255973742523607	0.675236966547347	0.0256327278232166
0.0210763077736416	0.554492985731695	0.0211001519681481
0.0168622927711677	0.366239641776863	0.0168726900382543
0.017261773396562	0.256848917372949	0.0172668638854791
0.0142048963190221	0.0862744355621118	0.0142054631133579
0.0132379208225222	0.58367769969091	0.0132641565321545
