"relative_eff_IPW_WD"	"relative_eff_OW_WD"	"relative_eff_DR_WD"	"relative_eff_DROW_WD"
1.06411882311115	1.07561601897691	1.1179443496812	1.1039470668435
1.10974838711521	1.11254108896092	1.07817578671768	1.07360117777159
1.17533739885583	1.17245328047223	1.08860712096841	1.08695073855287
1.14704303290214	1.14568395796889	1.11690178543362	1.11627578948344
1.20670675944114	1.20163145014487	1.17054878558308	1.16662337027381
1.17655964941467	1.17486465770628	1.13749826851163	1.13539212793249
1.2207942634256	1.21760117665513	1.21630477269961	1.21416871970032
1.19620870962669	1.19565620241599	1.20775692983339	1.20710912195708
1.14767871266766	1.14762441208187	1.1509638840107	1.15061549194302
1.23566080275312	1.23280834784009	1.23392777924617	1.23061766849857
