"relative_eff_IPW_WR"	"relative_eff_OW_WR"	"relative_eff_DR_WR"	"relative_eff_DROW_WR"
0.938736716759707	0.939032842358605	0.837357136665448	0.787329110934013
1.12393768763522	1.1210278341354	1.03224446525465	1.02474568147711
1.17040153661724	1.16362507266818	1.03388686986638	1.03304204510368
1.13951757677914	1.13784628447133	1.09785265525636	1.09574375418061
1.22270167758367	1.21617219647925	1.1735879761056	1.16857845808308
1.16824756824175	1.16649382803827	1.11965554386388	1.11792617512889
1.21090082721164	1.20959596340993	1.20030029623746	1.19961421107926
1.19635361503096	1.19523157473672	1.19822192287547	1.19722505472962
1.15702481944344	1.15682160850935	1.15064737502838	1.14986223725275
1.24188180745124	1.23922317102196	1.24218421957462	1.23879261834035
