"relative_eff_IPW_WR"	"relative_eff_OW_WR"	"relative_eff_DR_WR"	"relative_eff_DROW_WR"
0.811440856795761	0.880124048689047	0.157781559709107	0.141075551246963
1.11252766924225	1.06881458427411	1.02798970801224	0.955861191264611
1.14085458298467	1.13493199224186	1.16410424405304	1.15825588429967
1.13721641291036	1.12766834055877	1.14990615149532	1.13925210207483
1.17155912651672	1.16160054427483	1.21125752162558	1.1989666476714
1.18530761025155	1.17985340620925	1.22332977632303	1.21782405638363
1.17437279400975	1.16661246699099	1.2001603320615	1.19223886518404
1.13664740651924	1.13114337980131	1.14082455250894	1.13585292504813
1.21212337102845	1.20428321119573	1.24238993081874	1.23486280705813
1.15941140799797	1.15657333445635	1.17979368845931	1.17643038812301
