"relative_eff_IPW_WD"	"relative_eff_OW_WD"	"relative_eff_DR_WD"	"relative_eff_DROW_WD"
1.14244721216026	1.15734309018091	1.68624736712373	1.63691353547464
1.10465333180232	1.10616729905238	1.12246419603638	1.12140837258651
1.10467346664287	1.09769313409786	1.11018433350812	1.10618169223379
1.38010826232624	1.37504723710547	1.40027911694303	1.396230419444
1.38171781782256	1.38611510772963	1.46083267906888	1.46644330883326
1.38267928323863	1.38331951008035	1.43782813137145	1.43729781728343
1.43985935910592	1.4423331989002	1.50434507064178	1.50541757168825
1.45841559624439	1.45880202617028	1.50016012190307	1.49778848237815
1.41444360205638	1.41201005501251	1.52123405234014	1.51593350541899
1.42528424403319	1.42606263494218	1.51932986351067	1.52061841392744
