"relative_eff_IPW_WR"	"relative_eff_OW_WR"	"relative_eff_DR_WR"	"relative_eff_DROW_WR"
1.84890064042577	2.41081300180277	23.643827352361	3056497.33670998
2.0473400391527	1.98632664731375	4.83046993728222	4.77154939094767
1.47434694628434	1.45790267645016	1.46042508104931	1.43691074206047
1.46860911863016	1.44655838500896	1.49684212056413	1.48396611767992
1.40623000705736	1.39944966047378	1.51738691688852	1.50343499305137
1.34866501236961	1.33993120639248	1.43826676487305	1.42769648924561
1.39294492693089	1.38283330954885	1.45207191893568	1.44459567128279
1.40504943845158	1.40225543165706	1.47337469074503	1.46900357486932
1.35427664941191	1.35195816521911	1.43778413173569	1.43258984378408
1.32827109886387	1.32295492816178	1.45232272033247	1.44666123380943
